title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Toyota Fielder Hybrid 4 Grade 2020,Toyota,Fielder,Automatic,Hybrid,"Tk 2,320,000",2020,"1,800 cc","85,714 km",6
Toyota Fielder EX Dhaka Ready 2020,Toyota,Fielder,Automatic,Octane,"Tk 2,750,000",2020,"1,500 cc","67,000 km",6
Toyota Fielder Hybrid EX 2021,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,300,000",2021,"1,800 cc","56,000 km",5
Toyota Hiace DX 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,280,000",2020,"2,000 cc","39,856 km",6
Toyota Voxy S-Z 2022,Toyota,Voxy,Automatic,"Hybrid, Octane","Tk 4,750,000",2022,"1,800 cc","50,000 km",4
Nissan X-Trail HYBRID SUNROOF 2019,Nissan,X-Trail,Automatic,"Petrol, Hybrid, Octane","Tk 4,100,000",2019,"2,000 cc","33,000 km",7
Toyota Corolla Cross Z Leather Moonroof 2022,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 4,770,000",2022,"1,800 cc","9,000 km",4
Toyota Voxy Hybrid S-Z 2022,Toyota,Voxy,Automatic,"Petrol, Hybrid, Octane","Tk 4,100,000",2022,"1,800 cc","40,000 km",4
Toyota Corolla GX HYBRID PUSH GP-4 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 2,900,000",2020,"1,800 cc","62,122 km",6
Toyota Axio EX NON HYBRID PUSH 2021,Toyota,Axio,Automatic,"Petrol, Octane","Tk 3,250,000",2021,"1,500 cc","46,950 km",5
Toyota Esquire GI- PUSH BODY KIT 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,700,000",2020,"1,800 cc","60,690 km",6
Toyota Fielder Ex Push Start GP-4 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,300,000",2020,"1,500 cc","58,069 km",6
Toyota Hiace Super GL Push Projec 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,150,000",2020,"2,000 cc","102,000 km",6
Toyota Voxy 2022,Toyota,Voxy,Automatic,"Hybrid, Octane","Tk 5,300,000",2022,"1,800 cc","54,300 km",4
Toyota Prius S Touring Selection 2020,Toyota,Prius,Automatic,"Petrol, Hybrid, Octane","Tk 3,350,000",2020,"1,800 cc","87,000 km",6
Toyota Fielder EX HYBRID PUSH GP-4 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,300,000",2020,"1,500 cc","92,548 km",6
Toyota Noah X-HY PUSH 2DOR POW 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,400,000",2020,"1,800 cc","71,433 km",6
Toyota C-HR G-LED GRAY  2 TONE 2020,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,450,000",2020,"1,800 cc","70,320 km",6
Toyota Noah SI-WXB HYBRID CEL-TV 2021,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,800,000",2021,"1,800 cc","68,754 km",5
Toyota Aqua S HYBRID 2020,Toyota,Aqua,Automatic,"Petrol, Hybrid, Octane","Tk 1,940,000",2020,"1,500 cc","96,100 km",6
Toyota Axio EX HYBRID PUSH GP-4 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,250,000",2020,"1,500 cc","87,450 km",6
Toyota Prado TX L 2011,Toyota,Prado,Automatic,Octane,"Tk 6,500,000",2011,"2,700 cc","67,485 km",15
Toyota Esquire GI 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 4,050,000",2020,"1,790 cc","67,200 km",6
Toyota Corolla Cross Z LEATHER 4 POINT 2021,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,380,000",2021,"1,800 cc","62,000 km",5
Toyota Esquire GI 2018,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 3,850,000",2018,"1,790 cc","87,400 km",8
Toyota Noah G HYB 2DR PWR 4POINT 2020,Toyota,Noah,Automatic,Hybrid,"Tk 3,180,000",2020,"1,800 cc","112,000 km",6
Toyota Corolla Cross Z PKG 2022,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 4,800,000",2022,"1,790 cc","64,134 km",4
Toyota Axio EX-PKG 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,800,000",2020,"1,490 cc","79,519 km",6
Toyota Axio EX-PKG 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,800,000",2020,"1,490 cc","68,935 km",6
Toyota Esquire GI PKG NON HYB 4.5 2020,Toyota,Esquire,Automatic,Octane,"Tk 4,500,000",2020,"2,000 cc","84,000 km",6
Toyota Corolla Cross Z LEATHER 4.5 POINT 2021,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,430,000",2021,"1,800 cc","51,000 km",5
Toyota Passo Sette 7Seat 1.5L 2011,Toyota,Passo,Automatic,"Petrol, Octane","Tk 1,450,000",2011,"1,500 cc","69,369 km",15
"Toyota Prius U, Auction Grade 5 2023",Toyota,Prius,Automatic,Octane,"Tk 4,700,000",2023,"1,800 cc","1,501 km",3
Toyota Prius S Touring Selection 2018,Toyota,Prius,Automatic,"Hybrid, Octane","Tk 2,710,000",2018,"1,800 cc","109,085 km",8
Toyota Axio EX Push 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","58,000 km",6
Toyota Yaris Cross SHOWROOM-READY 2020,Toyota,Yaris Cross,Automatic,"Petrol, Hybrid, Octane","Tk 3,450,000",2020,"1,500 cc","59,512 km",6
Toyota Noah NON HYBRID X PKG 2021,Toyota,Noah,Automatic,"Petrol, Octane","Tk 3,700,000",2021,"2,000 cc","62,195 km",5
Toyota Noah X PKG NON HY BRID 2021,Toyota,Noah,Automatic,"Petrol, Octane","Tk 3,700,000",2021,"2,000 cc","41,013 km",5
BMW X3 Special Edition 2011,BMW,X3,Automatic,Diesel,"Tk 2,950,000",2011,"2,000 cc","75,000 km",15
Toyota Axio EX-Package 2020,Toyota,Axio,Automatic,Octane,"Tk 3,180,000",2020,"1,490 cc","66,349 km",6
Toyota Axio EX-Package 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,800,000",2020,"1,490 cc","79,529 km",6
Toyota Allion G PACKAGE PUSH 2016,Toyota,Allion,Automatic,"Petrol, CNG, Octane","Tk 2,950,000",2016,"1,500 cc","52,200 km",10
Toyota Premio G Win Over Fresh 2011,Toyota,Premio,Automatic,Octane,"Tk 2,280,000",2011,"1,500 cc","54,000 km",15
Toyota Premio G PUSH BLACK 2011,Toyota,Premio,Automatic,Octane,"Tk 2,200,000",2011,"1,500 cc","69,000 km",15
Toyota Axio Hybrid 2020 Ex,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,180,000",2020,"1,500 cc","83,254 km",6
Toyota Axio Non Hybrid 2020,Toyota,Axio,Automatic,Octane,"Tk 2,600,000",2020,"1,500 cc","86,452 km",6
Toyota C-HR G-LED-TWO TONE-HV 2019,Toyota,C-HR,Automatic,Hybrid,"Tk 3,380,000",2019,"1,800 cc","31,092 km",7
Toyota Premio FL LED 2021,Toyota,Premio,Automatic,Octane,"Tk 3,700,000",2021,"1,500 cc","50,211 km",5
Toyota Esquire GI-PREMIU-HYBRID 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,700,000",2020,"1,800 cc","63,545 km",6
Toyota Corolla Cross Z-LEATHER MOONROOF 2021,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 4,490,000",2021,"1,800 cc","23,000 km",5
Toyota Noah X-PKG-NON HYBRID 2021,Toyota,Noah,Automatic,Octane,"Tk 3,650,000",2021,"2,000 cc","95,067 km",5
Toyota Noah X PKG-NON-HYBRID 2020,Toyota,Noah,Automatic,Octane,"Tk 3,550,000",2020,"2,000 cc","96,090 km",6
Toyota Noah X-PKG-NON-HYBRID 2021,Toyota,Noah,Automatic,Octane,"Tk 3,650,000",2021,"2,000 cc","107,530 km",5
Toyota Esquire GI PREMIUM HV 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,700,000",2020,"1,800 cc","63,211 km",6
Honda Insight EX-PUSH-HV 2019,Honda,Insight,Automatic,Hybrid,"Tk 3,680,000",2019,"1,500 cc","63,555 km",7
Honda Insight LX PACKAGE-HV 2021,Honda,Insight,Automatic,Hybrid,"Tk 3,700,000",2021,"1,500 cc","123,777 km",5
Toyota Esquire PUSH HV GI PREMIUM 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,900,000",2020,"1,800 cc","77,389 km",6
Honda Vezel E PLAY PUSH START 2021,Honda,Vezel,Automatic,Hybrid,"Tk 46,189",2021,"1,500 cc","23,134 km",5
Toyota Corolla Hybrid 2021,Toyota,Corolla,Automatic,Hybrid,"Tk 2,400,000",2021,"1,800 cc","73,000 km",5
Toyota Corolla Hybrid WXB 2021,Toyota,Corolla,Automatic,Hybrid,"Tk 2,800,000",2021,"1,800 cc","90,000 km",5
Toyota Axio Hybrid EX 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,150,000",2020,"1,500 cc","62,993 km",6
Toyota Noah ESQUIRE GI 2020,Toyota,Noah,Automatic,"CNG, Octane, LPG","Tk 4,550,000",2020,"2,000 cc","53,000 km",6
Toyota Noah NHB SI WXB PEARL 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 4,400,000",2020,"2,000 cc","64,000 km",6
Toyota Alphard Executive Lounge 2021,Toyota,Alphard,Automatic,"Petrol, Hybrid, Octane","Tk 10,800,000",2021,"2,500 cc","51,002 km",5
Toyota Prius S-HYBRID GP-4.5 2020,Toyota,Prius,Automatic,"Petrol, Hybrid, Octane","Tk 3,350,000",2020,"1,800 cc","22,669 km",6
Honda Vezel E-PLAY HYBRID PUSH 2022,Honda,Vezel,Automatic,Hybrid,"Tk 4,600,000",2022,"1,500 cc","17,245 km",4
Toyota Noah X LED 2 DOOR POWER 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 3,770,000",2020,"2,000 cc","142,000 km",6
Toyota Premio F 2004,Toyota,Premio,Automatic,LPG,"Tk 1,320,000",2004,"1,500 cc","86,000 km",22
Toyota Hiace DX 2021,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,150,000",2021,"2,000 cc","77,000 km",5
Toyota Esquire GI PREMIUM HYBRID 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,680,000",2020,"1,800 cc","78,360 km",6
Toyota Fielder EX Hybrid 2020,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 2,250,000",2020,"1,500 cc","125,792 km",6
Toyota Axio EX HYBRID 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,550,000",2020,"1,500 cc","30,945 km",6
Toyota Fielder EX Hybrid 2020,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 2,250,000",2020,"1,500 cc","144,960 km",6
Toyota Axio EX HYBRID 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,540,000",2020,"1,500 cc","41,695 km",6
Toyota Noah SI-WXB HYBRID CEL-TV 2021,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,800,000",2021,"1,800 cc","86,070 km",5
Toyota Esquire Gi Pkg Hy Mica Blue 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,800,000",2020,"1,800 cc","106,021 km",6
Toyota Corolla Cross Z LEATHER 2022,Toyota,Corolla Cross,Automatic,"Petrol, Hybrid, Octane","Tk 5,000,000",2022,"1,800 cc","5,510 km",4
Honda Insight Hybrid 2021,Honda,Insight,Automatic,"Petrol, Octane","Tk 4,400,000",2021,"1,500 cc","70,510 km",5
Toyota Noah S-Z OCTAIN 4.5POINT 2022,Toyota,Noah,Automatic,Octane,"Tk 6,390,000",2022,"2,000 cc","38,000 km",4
Toyota Esquire GI PKG HYB 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,750,000",2020,"1,800 cc","68,000 km",6
Toyota Esquire GI PKG NON HYB 2020,Toyota,Esquire,Automatic,Octane,"Tk 4,100,000",2020,"2,000 cc","96,000 km",6
Toyota Corolla Cross New Masive Grey 2025,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 6,330,000",2025,"1,800 cc",16 km,1
Toyota Noah XI NON HYB 3.5point 2020,Toyota,Noah,Automatic,Octane,"Tk 3,700,000",2020,"2,000 cc","182,000 km",6
Toyota Axio EX-Package 2020,Toyota,Axio,Automatic,Octane,"Tk 3,150,000",2020,"1,490 cc","63,752 km",6
Toyota Corolla Cross Z LEATHER 4.5POINT 2022,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 4,920,000",2022,"1,800 cc","65,000 km",4
Toyota Esquire GI PKG NON HYB 2020,Toyota,Esquire,Automatic,Octane,"Tk 4,149,999",2020,"2,000 cc","25,000 km",6
Toyota Esquire GI PKG 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 4,050,000",2020,"1,790 cc","59,456 km",6
Toyota Esquire GI PKG 2020,Toyota,Esquire,Automatic,"Hybrid, Octane","Tk 4,200,000",2020,"1,790 cc","61,360 km",6
Toyota RAV4 G HYB PUSH 4WD 2020,Toyota,RAV4,Automatic,"Hybrid, Octane","Tk 6,530,000",2020,"2,500 cc","72,000 km",6
Toyota Corolla Cross Z-PKG 2021,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 4,550,000",2021,"1,790 cc","34,832 km",5
Toyota Hiace Super Gl kye Blue 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,850,000",2020,"2,000 cc","81,000 km",6
Toyota Noah NON HV ONE DOOR PWR. 2021,Toyota,Noah,Automatic,Octane,"Tk 3,600,000",2021,"2,000 cc","95,243 km",5
Toyota Corolla Cross S-PKG 2022,Toyota,Corolla Cross,Automatic,"Hybrid, Octane","Tk 4,850,000",2022,"1,800 cc","44,126 km",4
Toyota Hiace DX PKG 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,000,000",2020,"2,000 cc","90,100 km",6
Toyota Esquire Gi Hybrid Black 2021,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,900,000",2021,"1,800 cc","14,200 km",5
Toyota Esquire GI PREMIUM PKG PUSH 2020,Toyota,Esquire,Automatic,Hybrid,"Tk 3,700,000",2020,"1,800 cc","63,298 km",6
Toyota Corolla Cross HV Z LEAHTER PUSH 2022,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,750,000",2022,"1,800 cc","18,087 km",4
Toyota C-HR HYBRID 2021,Toyota,C-HR,Automatic,Hybrid,"Tk 3,100,000",2021,"1,800 cc","43,651 km",5
Toyota Yaris Cross Hybrid x 2021,Toyota,Yaris Cross,Automatic,Hybrid,"Tk 2,800,000",2021,"1,500 cc","90,000 km",5
Toyota Hiace Orginal Gl Dual AC 2020,Toyota,Hiace,Automatic,"Octane, Other fuel type","Tk 3,480,000",2020,"2,000 cc","75,326 km",6
Toyota Axio EX-Package 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,975,000",2020,"1,490 cc","17,419 km",6
Toyota Axio EX-Package 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,950,000",2020,"1,490 cc","45,861 km",6
Toyota Fielder EX PKG HYB 2021,Toyota,Fielder,Automatic,Hybrid,"Tk 2,550,000",2021,"1,500 cc","120,000 km",5
Toyota Noah S-Z HYBRID BLACK 2022,Toyota,Noah,Automatic,"Hybrid, Octane","Tk 4,100,000",2022,"1,800 cc","45,824 km",4
Toyota Axio X 2014,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 1,381,000",2014,"1,500 cc","61,300 km",12
Toyota Premio G SUPERIOR 2014,Toyota,Premio,Automatic,Octane,"Tk 2,680,000",2014,"1,500 cc","78,454 km",12
Toyota Prado tx limited 2015,Toyota,Prado,Automatic,Octane,"Tk 8,650,000",2015,"2,700 cc","58,000 km",11
Toyota Esquire Gi premium non Hyv 2021,Toyota,Esquire,Automatic,"Petrol, Octane","Tk 4,550,000",2021,"2,000 cc","49,000 km",5
Toyota Sienta G PACKAGE 7 SEAT 2020,Toyota,Sienta,Automatic,Octane,"Tk 2,900,000",2020,"1,500 cc","47,970 km",6
Toyota Corolla Cross Z LEATHER 2023,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,750,000",2023,"1,800 cc","30,945 km",3
Toyota Noah NON HV ONE DOOR PWR. 2021,Toyota,Noah,Automatic,Octane,"Tk 3,600,000",2021,"2,000 cc","107,198 km",5
Toyota Axio EX-PKG PUSH 2020,Toyota,Axio,Automatic,Hybrid,"Tk 2,390,000",2020,"1,500 cc","88,976 km",6
Toyota C-HR G LED TWO TONE-360 2019,Toyota,C-HR,Automatic,Hybrid,"Tk 3,380,000",2019,"1,800 cc","31,873 km",7
Toyota Prado TX-L PACKAGE-OCTEN 2021,Toyota,Prado,Automatic,Octane,"Tk 16,800,000",2021,"2,700 cc","24,321 km",5
Toyota Corolla Cross Z LEATHER FULL LOAD 2023,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,750,000",2023,"1,800 cc","30,211 km",3
Toyota Fielder EX READY SHOWROOM 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,270,000",2020,"1,500 cc","54,350 km",6
Toyota Noah X Non Hybrid Key St 2021,Toyota,Noah,Automatic,Octane,"Tk 3,600,000",2021,"2,000 cc","107,187 km",5
Toyota C-HR TWO TON 360 CAM 2019,Toyota,C-HR,Automatic,Hybrid,"Tk 3,380,000",2019,"1,800 cc","31,266 km",7
Honda Insight PUSH LX HYBRID 2021,Honda,Insight,Automatic,Hybrid,"Tk 3,650,000",2021,"1,500 cc","123,167 km",5
Toyota Fielder Hybrid 2021,Toyota,Fielder,Automatic,Hybrid,"Tk 2,200,000",2021,"1,500 cc","39,000 km",5
Toyota Corolla Cross Hybrid x 2021,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 3,700,000",2021,"1,800 cc","90,000 km",5
Honda Insight Hybrid EX package 2021,Honda,Insight,Automatic,Hybrid,"Tk 3,800,000",2021,"1,500 cc","70,000 km",5
Toyota RAV4 Hybrid 2021,Toyota,RAV4,Automatic,CNG,"Tk 5,150,000",2021,"2,500 cc","66,000 km",5
Toyota Hiace Super Gl 2010,Toyota,Hiace,Automatic,"CNG, Octane","Tk 2,195,000",2010,"2,000 cc","87,000 km",16
Toyota Noah GS 2 Door Power 2016,Toyota,Noah,Automatic,"Octane, LPG","Tk 3,280,000",2016,"2,000 cc","58,230 km",10
Toyota Prius S TOURING SELECTION 2020,Toyota,Prius,Automatic,Hybrid,"Tk 3,330,000",2020,"1,800 cc","42,360 km",6
Toyota Corolla Cross S LED BLUE AP-5 2022,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 4,200,000",2022,"1,800 cc","15,000 km",4
Toyota Allion A15 PEARL 2019,Toyota,Allion,Automatic,Petrol,"Tk 3,800,000",2019,"1,500 cc","10,536 km",7
Toyota Noah G HYBRID SILVER 2020,Toyota,Noah,Automatic,Hybrid,"Tk 3,450,000",2020,"1,800 cc","103,500 km",6
Toyota Allion A15 SILVER 2020,Toyota,Allion,Automatic,Petrol,"Tk 3,950,000",2020,"1,500 cc","13,000 km",6
Toyota Allion G PLUS 2020,Toyota,Allion,Automatic,Petrol,"Tk 4,450,000",2020,"1,500 cc","16,000 km",6
Toyota Hiace SUPER GL D P 2 2021,Toyota,Hiace,Automatic,Petrol,"Tk 4,500,000",2021,"2,000 cc","10,000 km",5
Toyota Hiace DARK PRIME BLACK 2020,Toyota,Hiace,Automatic,Petrol,"Tk 4,450,000",2020,"2,000 cc","78,000 km",6
Toyota Esquire GI PREMIUM HYBRID 2021,Toyota,Esquire,Automatic,Hybrid,"Tk 4,050,000",2021,"1,800 cc","43,180 km",5
Toyota Corolla WXB Pearl 4 Point 2020,Toyota,Corolla,Automatic,Hybrid,"Tk 3,480,000",2020,"1,800 cc","26,600 km",6
Toyota Hiace Super GL Dark Prime2 2020,Toyota,Hiace,Automatic,Petrol,"Tk 4,450,000",2020,"2,000 cc","59,000 km",6
Toyota Hiace GL Silver 4.573k km 2022,Toyota,Hiace,Automatic,Petrol,"Tk 3,700,000",2022,"2,000 cc","73,000 km",4
Toyota Hiace Super GL 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 3,950,000",2020,"2,000 cc","84,125 km",6
Toyota Hiace GL Ambulance 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 2,950,000",2020,"2,000 cc","17,899 km",6
Toyota Noah Si Wxb Non Hybrid 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 4,450,000",2020,"2,000 cc","62,000 km",6
Toyota Harrier PREMIUM 2020,Toyota,Harrier,Automatic,"Petrol, Octane","Tk 6,850,000",2020,"2,000 cc","55,000 km",6
Toyota Corolla Wxb Hybrid 4.5 Grade 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 3,350,000",2020,"1,800 cc","33,068 km",6
Toyota Noah Si Wxb Non Hybrid 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 4,100,000",2020,"2,000 cc","59,800 km",6
Toyota Fielder EX PKG 2020,Toyota,Fielder,Automatic,"Petrol, Hybrid, Octane","Tk 2,100,000",2020,"1,500 cc","75,420 km",6
Toyota Esquire GI PREMIUM HYBRID 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,750,000",2020,"1,800 cc","82,000 km",6
Toyota Sienta G -LED 2020,Toyota,Sienta,Automatic,"Petrol, Hybrid, Octane","Tk 2,650,000",2020,"1,500 cc","54,215 km",6
Toyota Prius S-Touring Selection 2020,Toyota,Prius,Automatic,"Petrol, Hybrid, Octane","Tk 3,050,000",2020,"1,800 cc","36,000 km",6
Toyota Voxy Zs Kirameki Hybrid 2021,Toyota,Voxy,Automatic,Hybrid,"Tk 3,800,000",2021,"1,800 cc","70,381 km",5
Toyota Esquire XI CELING TV HYBRID 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,550,000",2020,"1,800 cc","93,000 km",6
Toyota Axio Hybrid-EX Push Start 2020,Toyota,Axio,Automatic,"Petrol, Hybrid, Octane","Tk 2,380,000",2020,"1,500 cc","80,000 km",6
Toyota C-HR G-LED GRAY  2 TONE 2020,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,400,000",2020,"1,800 cc","69,800 km",6
Toyota Noah Hybrid SI WXB V-3 2020,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,750,000",2020,"1,800 cc","70,000 km",6
Toyota Crown SHOWROOM-READY 2022,Toyota,Crown,Automatic,"Petrol, Hybrid, Octane","Tk 12,000,000",2022,"2,400 cc","18,000 km",4
Toyota C-HR READY CAR GR SPORTS 2020,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,750,000",2020,"1,800 cc","45,013 km",6
Toyota Yaris Cross Z PKG-360 2020,Toyota,Yaris Cross,Automatic,"Petrol, Hybrid, Octane","Tk 3,450,000",2020,"1,500 cc","47,058 km",6
Toyota Crown Hybrid 2020,Toyota,Crown,Automatic,"Petrol, Octane","Tk 7,300,000",2020,"2,500 cc","5,510 km",6
Toyota Prado Land Cruiser TXL 2014,Toyota,Prado,Automatic,"Petrol, Octane","Tk 7,777,777",2014,"2,700 cc","67,000 km",12
Toyota C-HR G Package 2020,Toyota,C-HR,Automatic,"Petrol, Hybrid, Octane","Tk 3,350,000",2020,"1,800 cc","88,000 km",6
Toyota Harrier FULL LOADED Z HYBRID 2021,Toyota,Harrier,Automatic,Hybrid,"Tk 7,600,000",2021,"2,500 cc","14,296 km",5
Toyota Noah NON HV ONE DOOR PWR. 2021,Toyota,Noah,Automatic,Octane,"Tk 3,600,000",2021,"2,000 cc","106,298 km",5
Toyota Yaris HYBRID x 2021,Toyota,Yaris,Automatic,"Petrol, Hybrid, Octane, Other fuel type","Tk 1,900,000",2021,"1,500 cc","67,000 km",5
Toyota Axio EX Non Hybrid 4 2021,Toyota,Axio,Automatic,"Petrol, Octane","Tk 2,950,000",2021,"1,500 cc","18,125 km",5
Toyota Noah Non hybrid 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 3,430,000",2020,"2,000 cc","81,570 km",6
Toyota Noah G NON HYBRID 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 4,000,000",2020,"2,000 cc","87,540 km",6
Toyota Noah Si Wxb Non Hybrid 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 4,000,000",2020,"2,000 cc","42,000 km",6
Toyota Noah NON HYBRID X-SMART 2021,Toyota,Noah,Automatic,Octane,"Tk 4,020,000",2021,"2,000 cc","85,263 km",5
Toyota Axio Non Hybrid- 4 Point 2020,Toyota,Axio,Automatic,"Petrol, Octane","Tk 2,670,000",2020,"1,500 cc","75,924 km",6
Toyota Axio EX PUSH HV READY 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,290,000",2020,"1,500 cc","87,834 km",6
Toyota Axio Hybrid 2019,Toyota,Axio,Automatic,Hybrid,"Tk 2,320,000",2019,"1,500 cc","31,003 km",7
Toyota Hiace GL 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,280,000",2020,"2,000 cc","78,526 km",6
Toyota Hiace DX 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,280,000",2020,"2,000 cc","82,000 km",6
Toyota Esquire Hybrid GI Premium 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 3,850,000",2020,"1,800 cc","69,000 km",6
Toyota Prius S TOURING SELECTION 2020,Toyota,Prius,Automatic,"Hybrid, Octane","Tk 2,980,000",2020,"1,800 cc","54,896 km",6
Toyota Axio EX HYBRID 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,250,000",2020,"1,500 cc","124,205 km",6
Toyota Premio FL PUSH 2020,Toyota,Premio,Automatic,"Petrol, Octane","Tk 4,350,000",2020,"1,500 cc","39,116 km",6
Toyota Axio EX Hybrid 2020,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 2,250,000",2020,"1,500 cc","124,205 km",6
Toyota Noah GI HYBRI PUSH 1DR PW 2021,Toyota,Noah,Automatic,"Petrol, Hybrid, Octane","Tk 3,400,000",2021,"1,800 cc","76,950 km",5
Toyota Hiace Super GL Dual AC TRH 2020,Toyota,Hiace,Automatic,"Petrol, Octane","Tk 4,000,000",2020,"2,000 cc","60,000 km",6
Toyota Fielder EX HYBRUD 2020,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 2,250,000",2020,"1,500 cc","125,792 km",6
Toyota Harrier Premium Sunroof 2020,Toyota,Harrier,Automatic,Octane,"Tk 6,800,000",2020,"2,000 cc","55,670 km",6
Toyota Voxy ZS-KIRAMIK HY CEL-TV 2020,Toyota,Voxy,Automatic,"Petrol, Hybrid, Octane","Tk 3,400,000",2020,"1,800 cc","87,101 km",6
Toyota Yaris Cross Z-LEATHER 360 CAM 2021,Toyota,Yaris Cross,Automatic,"Petrol, Hybrid, Octane","Tk 3,350,000",2021,"1,500 cc","52,480 km",5
Toyota Esquire Gi 2 Door Power 4.5 2020,Toyota,Esquire,Automatic,"Petrol, Hybrid, Octane","Tk 4,150,000",2020,"1,800 cc","72,000 km",6
Toyota Corolla GX HYBRID PUSH GP-4 2020,Toyota,Corolla,Automatic,"Petrol, Hybrid, Octane","Tk 2,900,000",2020,"1,800 cc","55,744 km",6
Toyota Sienta G HYBRID PUSH 2DR PW 2020,Toyota,Sienta,Automatic,"Petrol, Hybrid, Octane","Tk 2,800,000",2020,"1,500 cc","87,450 km",6
