title,brand,model,transmission,fuel_type,price,year_of_manufacture,energy_capacity,kilometers_run,car_age
Nissan X-Trail Premium 2015,Nissan,X-Trail,Automatic,Octane,"Tk 2,490,000",2015,"2,000 cc","70,000 km",11
Toyota Premio FEX PackageFacelift 2014,Toyota,Premio,Automatic,Octane,"Tk 2,700,000",2014,"1,500 cc","72,345 km",12
Toyota Prado Auto Sunroof 2000,Toyota,Prado,Automatic,"Octane, LPG","Tk 1,780,000",2000,"2,700 cc","75,540 km",26
Toyota Land Cruiser Prado with Sunroof 2004,Toyota,Land Cruiser,Automatic,Octane,"Tk 2,950,000",2004,"2,700 cc","73,538 km",22
Toyota Harrier Z leather Package 2020,Toyota,Harrier,Automatic,"Petrol, Hybrid, Octane","Tk 7,400,000",2020,"2,500 cc","88,000 km",6
Toyota Prius CX 7 Seat 2015,Toyota,Prius,Automatic,Hybrid,"Tk 2,090,000",2015,"1,800 cc","72,000 km",11
Toyota Corolla .G 2002,Toyota,Corolla,Automatic,"CNG, Octane","Tk 910,000",2002,"1,500 cc","150,000 km",24
Audi A3 2008,Audi,A3,Automatic,"Petrol, Octane","Tk 3,600,000",2008,"1,390 cc","5,500 km",18
Toyota ist G 2003,Toyota,ist,Automatic,"CNG, Octane","Tk 810,000",2003,"1,300 cc","69,000 km",23
Honda Vezel jat package 2014,Honda,Vezel,Automatic,"Hybrid, Octane","Tk 1,560,000",2014,"1,500 cc","59,000 km",12
Toyota Corolla 100 STATION WAGON 1996,Toyota,Corolla,Automatic,"Octane, LPG","Tk 295,000",1996,"1,331 cc","170,000 km",30
Toyota Starlet soliel 1995,Toyota,Starlet,Automatic,"CNG, Octane","Tk 450,000",1995,"1,331 cc","120,458 km",31
Toyota Corolla 100 STATION WAGON 2003,Toyota,Corolla,Automatic,"CNG, Octane","Tk 465,000",2003,"1,500 cc","176,120 km",23
Toyota Corolla 100 SPRINTER 1991,Toyota,Corolla,Automatic,"CNG, Octane","Tk 370,000",1991,"1,500 cc","159,406 km",35
Honda CR-V Sun Roof 2002,Honda,CR-V,Automatic,Octane,"Tk 1,095,000",2002,"2,000 cc","127,861 km",24
Honda H-RV Hard Jeep 2004,Honda,H-RV,Automatic,"CNG, Octane","Tk 630,000",2004,"1,600 cc","162,390 km",22
Toyota Hiace GL 2018,Toyota,Hiace,Automatic,"CNG, Octane","Tk 3,100,000",2018,"2,000 cc","164,601 km",8
Nissan X-Trail Octane Drive 2010,Nissan,X-Trail,Automatic,Octane,"Tk 1,650,000",2010,"2,000 cc","65,000 km",16
Nissan X-Trail 7Seater Sunroof 2016,Nissan,X-Trail,Automatic,Octane,"Tk 3,180,000",2016,"2,000 cc","48,000 km",10
Toyota Corolla X 2006,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,300,000",2006,"1,500 cc","94,000 km",20
Honda HR-V MTORS 2021,Honda,HR-V,Automatic,Octane,"Tk 3,095,000",2021,"1,500 cc","31,000 km",5
Toyota Corolla G New shape 2005,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,250,000",2005,"1,500 cc","96,000 km",21
Hyundai Sonata Full Fresh Sunroof 2012,Hyundai,Sonata,Automatic,Octane,"Tk 1,650,000",2012,"2,000 cc","79,078 km",14
Toyota Corolla 2005,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,270,000",2008,"1,500 cc","150,000 km",18
Toyota Premio FEX 2015,Toyota,Premio,Automatic,Octane,"Tk 2,800,000",2015,150 cc,"60,000 km",11
Toyota Corolla Cross Z Leather Packaga 2021,Toyota,Corolla Cross,Automatic,Octane,"Tk 4,980,000",2021,"1,800 cc","36,962 km",5
Toyota RAV4 . 2004,Toyota,RAV4,Automatic,"Petrol, CNG, Octane","Tk 1,050,000",2004,"1,998 cc","145,000 km",22
Toyota Noah 2020,Toyota,Noah,Automatic,Octane,"Tk 3,500,000",2020,"2,000 cc","126,013 km",6
Toyota ist 2005,Toyota,ist,Automatic,Octane,"Tk 850,000",2011,"1,300 cc","65,000 km",15
Toyota Allion . 2004,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,300,000",2004,"1,500 cc","146,215 km",22
Toyota Axio 2010,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,460,000",2010,"1,500 cc","115,360 km",16
Toyota Premio 2014,Toyota,Premio,Automatic,LPG,"Tk 2,550,000",2018,"1,500 cc","89,000 km",8
Toyota Noah X 2012,Toyota,Noah,Automatic,"CNG, Octane","Tk 2,550,000",2012,"2,000 cc","89,400 km",14
Toyota Axio 2011,Toyota,Axio,Automatic,"Petrol, CNG","Tk 1,550,000",2017,"1,500 cc","189,842 km",9
Toyota Fielder 2014,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 1,600,000",2014,"1,500 cc","97,000 km",12
Nissan X-Trail 7 Seater-Non Hybrid 2016,Nissan,X-Trail,Automatic,Octane,"Tk 2,650,000",2016,"2,000 cc","58,840 km",10
Toyota Axio x 2010,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,370,000",2010,"1,500 cc","200,000 km",16
Toyota Axio 2008,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,250,000",2012,"1,500 cc","100,300 km",14
Toyota Rush 2006,Toyota,Rush,Manual,Octane,"Tk 1,200,000",2011,"1,500 cc","120,000 km",15
Toyota Noah Esqure Gi Premium 2018,Toyota,Noah,Automatic,"Hybrid, Octane","Tk 3,180,000",2018,"1,800 cc","71,000 km",8
Nissan X-Trail Mode Premier 2015,Nissan,X-Trail,Automatic,Hybrid,"Tk 2,850,000",2015,"2,000 cc","79,500 km",11
Toyota Starlet  1990,Toyota,Starlet,Automatic,"Octane, LPG","Tk 380,000",1990,"1,331 cc","117,000 km",36
Toyota Noah  2012,Toyota,Noah,Automatic,"Octane, LPG","Tk 2,150,000",2012,"2,000 cc","75,259 km",14
Toyota Esquire . 2016,Toyota,Esquire,Automatic,"Octane, LPG","Tk 2,990,000",2016,"2,000 cc","98,000 km",10
Toyota Allion 2013,Toyota,Allion,Automatic,Octane,"Tk 2,288,000",2018,"1,500 cc","93,000 km",8
Toyota T100 . 1997,Toyota,T100,Automatic,"CNG, Octane","Tk 600,000",1997,"1,331 cc","75,000 km",29
Toyota Noah . 2002,Toyota,Noah,Automatic,"CNG, Octane","Tk 1,200,000",2002,"2,000 cc","262,000 km",24
Toyota Carina TI 1999,Toyota,Carina,Automatic,"Octane, LPG","Tk 820,000",1999,"1,500 cc","186,000 km",27
Toyota Corolla 1994,Toyota,Corolla,Automatic,"CNG, Octane","Tk 430,000",1998,"1,500 cc","180,000 km",28
Toyota Axio 2007,Toyota,Axio,Automatic,"Petrol, LPG","Tk 1,300,000",2010,"1,500 cc","40,000 km",16
Toyota Corolla SE limited 1992,Toyota,Corolla,Automatic,"CNG, Octane","Tk 400,000",1992,"1,500 cc",70 km,34
Toyota Noah 2004,Toyota,Noah,Automatic,"Octane, LPG","Tk 1,300,000",2007,"2,000 cc","100,000 km",19
Toyota Corolla 1993,Toyota,Corolla,Automatic,"CNG, Octane","Tk 380,000",2009,"1,500 cc","250,000 km",17
Toyota Raum  2003,Toyota,Raum,Automatic,"Octane, LPG","Tk 1,080,000",2003,"1,500 cc",10 km,23
Toyota Corolla X 2004,Toyota,Corolla,Automatic,"CNG, Octane","Tk 1,020,000",2004,"1,500 cc","95,000 km",22
"Toyota Noah KR42 NOAH, GL 2005",Toyota,Noah,Automatic,"Petrol, CNG","Tk 950,000",2005,"1,800 cc","10,253 km",21
Toyota Harrier Beige Interior 2005,Toyota,Harrier,Automatic,Octane,"Tk 2,575,000",2005,"2,400 cc","140,000 km",21
Toyota Allion A 15 2015,Toyota,Allion,Automatic,Octane,"Tk 2,575,000",2015,"1,500 cc","65,000 km",11
Mazda Axela 3 2004,Mazda,Axela,Automatic,"Petrol, CNG, Octane","Tk 765,000",2004,"1,500 cc","45,000 km",22
Toyota Allion . 2005,Toyota,Allion,Automatic,"Octane, LPG","Tk 1,500,000",2005,"1,500 cc","105,000 km",21
Toyota Allion 2013,Toyota,Allion,Automatic,Octane,"Tk 2,300,000",2013,"1,500 cc","88,000 km",13
Toyota Noah Car 2010,Toyota,Noah,Automatic,"CNG, Octane","Tk 1,890,000",2010,"2,000 cc","150,000 km",16
Toyota Fielder G edition Push Start 2012,Toyota,Fielder,Automatic,"Octane, LPG","Tk 1,615,000",2012,"1,500 cc","89,000 km",14
Toyota Allion A15 2007,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,950,000",2007,"1,500 cc","66,000 km",19
Toyota Allion . 2005,Toyota,Allion,Automatic,"CNG, Octane","Tk 1,550,000",2005,"1,500 cc","1,000 km",21
Nissan X-Trail . 2016,Nissan,X-Trail,Automatic,"Hybrid, Octane","Tk 2,250,000",2016,"2,000 cc","91,656 km",10
Toyota Fielder WXB 2014,Toyota,Fielder,Automatic,"Hybrid, Octane","Tk 1,620,000",2014,"1,500 cc","106,813 km",12
Toyota Axio 2013,Toyota,Axio,Automatic,"CNG, Octane","Tk 1,600,000",2018,"1,500 cc","100,000 km",8
Toyota Hiace . 2016,Toyota,Hiace,Automatic,CNG,"Tk 2,450,000",2016,"2,000 cc","50,000 km",10
Toyota Noah 2013,Toyota,Noah,Automatic,"CNG, Octane","Tk 900,000",2019,"1,500 cc","158,896 km",7
Mitsubishi Pajero V6 1993,Mitsubishi,Pajero,Automatic,Diesel,"Tk 775,000",1993,"2,470 cc","98,000 km",33
Toyota Prado . 2000,Toyota,Prado,Automatic,Octane,"Tk 2,500,000",2000,"2,690 cc","267,031 km",26
Toyota Axio G 2015,Toyota,Axio,Automatic,Octane,"Tk 2,100,000",2015,"1,500 cc","48,100 km",11
Toyota Axio HYBRID 2014,Toyota,Axio,Automatic,"Hybrid, Octane","Tk 1,470,000",2014,"1,500 cc","70,000 km",12
Toyota Axio Corolla 2013,Toyota,Axio,Automatic,"Octane, LPG","Tk 1,630,000",2013,"1,500 cc","105,000 km",13
Toyota Corolla 111 1999,Toyota,Corolla,Automatic,"CNG, Octane","Tk 640,000",1999,"1,500 cc","100,000 km",27
Toyota Starlet Soleil 1995,Toyota,Starlet Soleil,Automatic,Octane,"Tk 450,000",1995,"1,300 cc","80,000 km",31
Toyota Probox . 2008,Toyota,Probox,Automatic,CNG,"Tk 900,000",2008,"1,500 cc","100,020 km",18
Toyota Axio G Hybrid 2015,Toyota,Axio,Automatic,Hybrid,"Tk 1,850,000",2015,"1,500 cc","167,000 km",11
Nissan X-Trail Octane Draive 2017,Nissan,X-Trail,Automatic,Octane,"Tk 3,630,000",2017,"2,000 cc","44,265 km",9
Toyota Fielder 202 2010,Toyota,Fielder,Automatic,Octane,"Tk 1,570,000",2010,"1,500 cc","72,180 km",16
Toyota Corolla Cross Z LEATHER PANA. ROOF 2023,Toyota,Corolla Cross,Automatic,Hybrid,"Tk 5,020,000",2023,"1,800 cc","11,000 km",3
Honda Accord OCTANEOVERFRIESH 2006,Honda,Accord,Automatic,Octane,"Tk 1,380,000",2006,"2,400 cc","67,900 km",20
Toyota Harrier OCTANEOVERFRIESH 2006,Toyota,Harrier,Automatic,Octane,"Tk 2,630,000",2006,"2,400 cc","9,099 km",20
Toyota Harrier Z LEATHER OCTEN DRI. 2020,Toyota,Harrier,Automatic,Petrol,"Tk 7,850,000",2020,"2,000 cc","46,000 km",6
Toyota Noah Non hybrid 2020,Toyota,Noah,Automatic,"Petrol, Octane","Tk 3,500,000",2020,"2,000 cc","68,351 km",6
Toyota Hiace GL 2020,Toyota,Hiace,Automatic,Octane,"Tk 3,610,000",2020,"2,000 cc","65,000 km",6
